,index,País,anomes,sumtOfExport
0,777,Rússia,2013,14795694.0
1,321,Rússia,2009,5732280.0
2,207,Rússia,2008,2352768.0
3,663,Rússia,2012,2103968.0
4,1689,Rússia,2021,312926.0
5,93,Rússia,2007,173160.0
6,891,Rússia,2014,61440.0
7,1005,Rússia,2015,18240.0
8,1575,Rússia,2020,8550.0
9,1682,Paraguai,2021,7192362.0
10,1340,Paraguai,2018,5494321.0
11,1226,Paraguai,2017,4274650.0
12,1568,Paraguai,2020,3869243.0
13,1454,Paraguai,2019,3826587.0
14,1112,Paraguai,2016,1655417.0
15,200,Paraguai,2008,1374088.0
16,884,Paraguai,2014,908028.0
17,86,Paraguai,2007,801519.0
18,998,Paraguai,2015,741370.0
19,770,Paraguai,2013,680828.0
20,428,Paraguai,2010,449197.0
21,656,Paraguai,2012,428279.0
22,314,Paraguai,2009,392087.0
23,542,Paraguai,2011,276281.0
24,727,Espanha,2013,3748940.0
25,499,Espanha,2011,24618.0
26,1297,Espanha,2018,22631.0
27,157,Espanha,2008,6834.0
28,271,Espanha,2009,4050.0
29,1411,Espanha,2019,1353.0
30,1525,Espanha,2020,126.0
31,1184,Estados Unidos,2017,1523699.0
32,500,Estados Unidos,2011,1030254.0
33,44,Estados Unidos,2007,810038.0
34,158,Estados Unidos,2008,804607.0
35,728,Estados Unidos,2013,786556.0
36,1070,Estados Unidos,2016,687411.0
37,272,Estados Unidos,2009,660066.0
38,1412,Estados Unidos,2019,616274.0
39,1526,Estados Unidos,2020,610793.0
40,956,Estados Unidos,2015,524109.0
41,1298,Estados Unidos,2018,512519.0
42,842,Estados Unidos,2014,494216.0
43,386,Estados Unidos,2010,478630.0
44,614,Estados Unidos,2012,303986.0
45,1640,Estados Unidos,2021,203554.0
46,889,Reino Unido,2014,1373747.0
47,1117,Reino Unido,2016,536681.0
48,661,Reino Unido,2012,334856.0
49,1003,Reino Unido,2015,308407.0
50,775,Reino Unido,2013,305005.0
51,1345,Reino Unido,2018,296827.0
52,433,Reino Unido,2010,295690.0
53,547,Reino Unido,2011,285642.0
54,1231,Reino Unido,2017,242883.0
55,1459,Reino Unido,2019,164592.0
56,205,Reino Unido,2008,155076.0
57,91,Reino Unido,2007,144244.0
58,1687,Reino Unido,2021,122394.0
59,1573,Reino Unido,2020,82722.0
60,319,Reino Unido,2009,68788.0
61,1653,Haiti,2021,831181.0
62,1539,Haiti,2020,471152.0
63,1311,Haiti,2018,144425.0
64,1425,Haiti,2019,129803.0
65,285,Haiti,2009,5863.0
66,399,Haiti,2010,3750.0
67,171,Haiti,2008,20.0
68,198,Países Baixos,2008,783635.0
69,882,Países Baixos,2014,773767.0
70,654,Países Baixos,2012,539641.0
71,540,Países Baixos,2011,395356.0
72,84,Países Baixos,2007,364751.0
73,426,Países Baixos,2010,302182.0
74,768,Países Baixos,2013,255690.0
75,1110,Países Baixos,2016,190203.0
76,996,Países Baixos,2015,186464.0
77,1452,Países Baixos,2019,148031.0
78,312,Países Baixos,2009,136991.0
79,1338,Países Baixos,2018,32395.0
80,1680,Países Baixos,2021,8484.0
81,1566,Países Baixos,2020,1532.0
82,800,"Alemanha, República Democrática",2014,761653.0
83,116,"Alemanha, República Democrática",2008,429970.0
84,230,"Alemanha, República Democrática",2009,393482.0
85,686,"Alemanha, República Democrática",2013,265978.0
86,2,"Alemanha, República Democrática",2007,238052.0
87,458,"Alemanha, República Democrática",2011,144150.0
88,344,"Alemanha, República Democrática",2010,138666.0
89,1142,"Alemanha, República Democrática",2017,87702.0
90,1028,"Alemanha, República Democrática",2016,68109.0
91,572,"Alemanha, República Democrática",2012,56342.0
92,1256,"Alemanha, República Democrática",2018,45382.0
93,914,"Alemanha, República Democrática",2015,44780.0
94,1484,"Alemanha, República Democrática",2020,32605.0
95,1370,"Alemanha, República Democrática",2019,25467.0
96,1598,"Alemanha, República Democrática",2021,6741.0
97,596,China,2012,642177.0
98,1052,China,2016,499622.0
99,254,China,2009,482400.0
100,824,China,2014,455340.0
101,1394,China,2019,376828.0
102,1508,China,2020,363000.0
103,482,China,2011,334867.0
104,710,China,2013,279956.0
105,1166,China,2017,266086.0
106,1622,China,2021,264116.0
107,938,China,2015,222866.0
108,1280,China,2018,126336.0
109,26,China,2007,30390.0
110,140,China,2008,25926.0
111,368,China,2010,2358.0
112,751,Japão,2013,429088.0
113,865,Japão,2014,401774.0
114,67,Japão,2007,316867.0
115,295,Japão,2009,283436.0
116,181,Japão,2008,178333.0
117,523,Japão,2011,144662.0
118,637,Japão,2012,116961.0
119,1321,Japão,2018,112342.0
120,1435,Japão,2019,99642.0
121,1207,Japão,2017,92886.0
122,1549,Japão,2020,92674.0
123,1093,Japão,2016,90954.0
124,1663,Japão,2021,90275.0
125,979,Japão,2015,87853.0
126,409,Japão,2010,74628.0
