anomes,cotacaoVenda,ticket_medio
2007,1.7713,1.3366234673675041
2008,2.337,1.3339573940609442
2009,1.7411999999999999,1.1847319494604345
2010,1.6662,2.2050072364196334
2011,1.8758,2.497574375099286
2012,2.435,2.3567689670331124
2013,2.3426,3.341964999787995
2014,2.6562,2.6918614408408326
2015,3.9048000000000003,2.6418900300827732
2016,3.2591,3.339116301046408
2017,3.308,5.756643044365397
2018,3.8748,3.1352864343327504
2019,4.307,3.1542473262313466
2020,5.1967,3.7678916302887813
2021,5.5805,2.34554398734778
