anomes,cotacaoVenda,ticket_medio,Ticket_medio_Brl
2007,1.7713,1.3366234673675041,2.3675611477480603
2008,2.337,1.3339573940609442,3.117458429920427
2009,1.7411999999999999,1.1847319494604345,2.0628552704005085
2010,1.6662,2.2050072364196334,3.673983057322393
2011,1.8758,2.497574375099286,4.684950012811241
2012,2.435,2.3567689670331124,5.7387324347256286
2013,2.3426,3.341964999787995,7.828887208503357
2014,2.6562,2.6918614408408326,7.150122359161419
2015,3.9048000000000003,2.6418900300827732,10.316052189467214
2016,3.2591,3.339116301046408,10.882513936740349
2017,3.308,5.756643044365397,19.042975190760732
2018,3.8748,3.1352864343327504,12.14860787575254
2019,4.307,3.1542473262313466,13.585343234078412
2020,5.1967,3.7678916302887813,19.58060243512171
2021,5.5805,2.34554398734778,13.089308221394287
