País,sumtOfExport
AFG,46.0
AGO,621181.0
ARG,218452.0
ATG,5872.0
AUS,457230.0
AUT,5220.0
"Alemanha, República Democrática",2739079.0
Antilhas Holandesas,160864.0
Aruba,2435.0
BEL,1392832.0
BEN,37765.0
BGD,49.0
BGR,1579.0
BHS,70829.0
BOL,244657.0
BRB,1407.0
Barein,3066.0
Belice,29.0
Bósnia-Herzegovina,52.0
CAN,1110471.0
CHE,956117.0
CHL,129939.0
CHN,4372268.0
CMR,7654.0
COG,570.0
COL,73949.0
COM,25.0
CPV,50363.0
CRI,200.0
CUB,309724.0
CYP,13638.0
"Cayman, Ilhas",1004.0
"Coreia, Republica Sul",19872.0
Curaçao,253733.0
DMA,634.0
DNK,386745.0
ECU,7412.0
ESP,3808552.0
EST,144886.0
EUA,10046712.0
Emirados Arabes Unidos,59378.0
"Eslovaca, Republica",16063.0
FIN,537432.0
FRA,706582.0
GBR,4717554.0
GHA,90377.0
GRC,23830.0
GTM,37839.0
GUY,14067.0
Gibraltar,2953.0
Guiana Francesa,32.0
Guine Bissau,90.0
Guine Equatorial,81903.0
HND,610.0
HRV,123.0
HTI,1586194.0
HUN,4686.0
Hong Kong,415676.0
IDN,6.0
IRL,104717.0
IRN,322.0
ITA,155007.0
Ilha de Man,741.0
India,369.0
JOR,52.0
JPN,2612375.0
LBR,63852.0
LUX,371165.0
LVA,3723.0
MEX,59229.0
MLT,35162.0
MNE,131.0
MRT,85.0
MYS,143.0
"Marshall, Ilhas",60422.0
NCL,11924.0
NGA,208177.0
NLD,4119122.0
NOR,232180.0
NZL,75053.0
Namibia,722.0
Nicaragua,24.0
PAN,114154.0
PER,53789.0
PHL,30607.0
POL,611080.0
PRT,739088.0
PRY,32364257.0
QAT,81608.0
Quênia,45547.0
RUS,25559026.0
República Dominicana,2438.0
SGP,108474.0
SLE,26722.0
SLV,100.0
STP,2357.0
SUR,47633.0
SWE,350827.0
SWZ,24.0
Singapura,14346.0
TGO,9823.0
THA,7179.0
TUR,1237.0
TUV,4.0
Taiwan (FORMOSA),287987.0
"Tcheca, República",536018.0
Trinidade Tobago,4320.0
URY,222511.0
VCT,48.0
VEN,83847.0
VNM,12736.0
VUT,31.0
ZAF,116.0
total,105385138.0
