anomes,Continente,ticket_medio,cotacaoVenda
2007,Exceto América do Sul,2.4422161064531385,1.7713000000000003
2008,Exceto América do Sul,3.95395547135728,2.337
2009,Exceto América do Sul,2.574864024652144,1.7412
2010,Exceto América do Sul,4.604896834043523,1.6661999999999997
2011,Exceto América do Sul,4.773391284607981,1.8757999999999997
2012,Exceto América do Sul,6.5316594384343665,2.435
2013,Exceto América do Sul,5.200157994813014,2.3426
2014,Exceto América do Sul,4.950418878751776,2.6562
2015,Exceto América do Sul,4.366316798860421,3.9048
2016,Exceto América do Sul,5.626466383342395,3.2591
2017,Exceto América do Sul,5.70319443379297,3.3079999999999994
2018,Exceto América do Sul,3.711806746928947,3.8748
2019,Exceto América do Sul,5.057407378859651,4.307
2020,Exceto América do Sul,3.9720887161964025,5.1967
2021,Exceto América do Sul,4.258024844718688,5.5805
